Zipcode,Beds,Baths,Size,Price
20001,3.0,2.0,1578.0,824900.0
20001,1.0,1.0,768.0,435000.0
20001,6.0,4.0,2930.0,1250000.0
20001,2.0,2.0,948.0,649000.0
20001,1.0,1.0,676.0,399900.0
20001,1.0,1.0,692.0,459900.0
20001,2.0,2.0,1691.0,999000.0
20001,1.0,1.0,674.0,399900.0
20001,2.0,2.0,1033.0,627500.0
20001,3.0,2.0,1300.0,799000.0
20001,4.0,3.5,3340.0,1899000.0
20001,4.0,3.5,1986.0,1250000.0
20001,1.0,1.0,625.0,399000.0
20001,3.0,2.5,2000.0,899900.0
20001,3.0,3.5,1139.0,799999.0
20001,3.0,2.5,1690.0,899900.0
20001,2.0,2.0,922.0,589000.0
20001,1.0,1.0,1129.0,1099900.0
20001,4.0,4.0,2250.0,859999.0
20001,3.0,3.0,2192.0,1225000.0
20001,1.0,1.0,452.0,380000.0
20001,1.0,1.0,552.0,399000.0
20001,2.0,2.5,1395.0,1395000.0
20001,1.0,2.0,1176.0,649900.0
20001,1.0,1.0,740.0,499999.0
20001,2.0,2.5,1346.0,1150000.0
20001,1.0,1.5,615.0,435000.0
20001,2.0,2.0,1133.0,540000.0
20001,1.0,1.0,764.0,505000.0
20001,2.0,2.0,1074.0,799000.0
20001,3.0,3.0,1550.0,999000.0
20001,3.0,3.0,1350.0,999000.0
20001,3.0,4.0,2254.0,1725000.0
20001,5.0,4.5,4610.0,3975000.0
20001,2.0,2.5,1473.0,819900.0
20001,3.0,3.5,2825.0,1995000.0
20001,1.0,1.0,610.0,435000.0
20001,3.0,1.5,1350.0,650000.0
20001,3.0,2.5,1068.0,699900.0
20001,4.0,3.5,2528.0,1349000.0
20001,1.0,1.0,886.0,475000.0
20001,1.0,1.0,631.0,495000.0
20001,1.0,1.0,550.0,399900.0
20001,1.0,1.0,598.0,474900.0
20001,2.0,1.0,716.0,500000.0
20001,2.0,2.0,960.0,725000.0
20001,2.0,1.0,715.0,659000.0
20001,3.0,2.5,1994.0,980000.0
20001,3.0,2.5,2000.0,1075000.0
20001,2.0,2.5,1580.0,865000.0
20001,3.0,3.5,1780.0,1200000.0
20001,1.0,1.0,880.0,530000.0
20001,3.0,3.5,2320.0,1425000.0
20001,2.0,2.0,1200.0,725000.0
20001,2.0,2.0,980.0,580000.0
20001,3.0,3.0,1287.0,699900.0
20001,3.0,2.5,2494.0,1699000.0
20001,2.0,2.0,1038.0,749900.0
20001,1.0,1.0,597.0,444900.0
20001,6.0,4.5,2381.0,1200000.0
20001,1.0,1.0,628.0,449000.0
20001,2.0,1.0,868.0,499000.0
20001,2.0,2.5,2162.0,1299000.0
20001,2.0,2.0,1242.0,675000.0
20001,1.0,1.0,476.0,255866.0
20001,4.0,3.5,2319.0,1899000.0
20001,3.0,2.5,1850.0,1569000.0
20001,7.0,5.5,3367.0,1800000.0
20001,3.0,2.5,1690.0,924900.0
20001,3.0,2.5,1480.0,824900.0
20001,4.0,3.5,2240.0,789999.0
20001,3.0,1.5,1916.0,700000.0
20001,3.0,2.0,1660.0,1079900.0
20001,3.0,2.5,1570.0,1275000.0
20001,1.0,1.0,540.0,450000.0
20001,2.0,1.0,791.0,281139.0
20001,2.0,1.0,710.0,359000.0
20001,1.0,1.0,733.0,439000.0
20001,2.0,2.0,1172.0,1250000.0
20001,2.0,2.0,922.0,899000.0
20001,2.0,1.0,789.0,570000.0
20001,2.0,2.0,890.0,599000.0
20001,3.0,2.5,1206.0,800000.0
20001,2.0,1.0,895.0,679900.0
20001,1.0,1.0,628.0,465900.0
20001,1.0,1.5,940.0,699900.0
20001,2.0,2.0,1020.0,665000.0
20001,2.0,2.0,1053.0,829000.0
